Time,Latitude,Longitude,Speed(km/h),Altitude(m)
23:37:21,-38.059731,144.383184,1.94,12.4
23:37:22,-38.05973,144.383176,1.3,16.8
23:37:23,-38.059739,144.383183,0.48,20.5
23:37:24,-38.059738,144.383187,0.5,20.5
23:37:25,-38.059735,144.383175,0.72,19.8
23:37:26,-38.059732,144.383174,0.26,19.4
23:37:27,-38.059729,144.383177,0.91,19.6
23:37:28,-38.059727,144.383178,0.2,20.0
23:37:29,-38.059725,144.38318,0.11,20.2
23:37:30,-38.059723,144.383182,0.09,20.3
23:37:31,-38.059722,144.383183,0.04,20.5
23:37:32,-38.05972,144.383184,0.15,20.5
23:37:33,-38.05972,144.383187,0.06,20.5
23:37:34,-38.059719,144.383191,0.06,20.7
23:37:35,-38.059722,144.383197,0.5,20.6
23:37:36,-38.059724,144.383202,0.07,20.6
23:37:37,-38.059724,144.383205,0.2,20.7
23:37:38,-38.059725,144.383207,0.17,20.7
23:37:39,-38.059726,144.383209,0.26,20.8
23:37:40,-38.059726,144.383209,0.22,20.9
23:37:41,-38.059726,144.38321,0.24,20.8
23:37:42,-38.059726,144.383211,0.02,20.8
23:37:43,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:37:44,-38.059726,144.383212,0.02,20.8
23:38:0,-38.059723,144.383207,0.19,20.8
23:38:1,-38.059724,144.383208,0.44,20.7
23:38:2,-38.059724,144.383209,0.44,20.6
23:38:3,-38.059724,144.383209,0.19,20.5
23:38:4,-38.059725,144.383209,0.07,20.4
23:38:5,-38.059725,144.383209,0.61,20.2
23:38:6,-38.059725,144.383207,0.44,20.0
23:38:7,-38.059728,144.383216,4.22,19.8
23:38:8,-38.05973,144.383239,8.52,19.6
23:38:9,-38.059731,144.383284,17.48,20.4
23:38:10,-38.059754,144.383343,24.72,21.4
23:38:11,-38.059807,144.383393,31.0,22.0
23:38:12,-38.059889,144.383424,37.04,22.6
23:38:13,-38.059991,144.383445,42.36,23.1
23:38:14,-38.060092,144.383477,42.06,23.5
23:38:15,-38.060173,144.383552,40.8,23.7
23:38:16,-38.060208,144.383667,40.98,23.8
23:38:17,-38.060182,144.383766,33.35,24.0
23:38:18,-38.060106,144.383799,34.84,24.2
23:38:19,-38.060011,144.383787,39.56,24.1
23:38:20,-38.059921,144.383811,37.17,24.0
23:38:21,-38.059854,144.383896,40.28,23.8
23:38:22,-38.059833,144.384002,33.71,23.7
23:38:23,-38.059871,144.384088,33.82,23.6
23:38:24,-38.059955,144.384122,38.5,23.7
23:38:25,-38.060058,144.384105,43.15,23.5
23:38:26,-38.060169,144.384058,47.91,23.3
23:38:27,-38.060277,144.384002,45.39,23.3
23:38:28,-38.060377,144.383968,40.02,23.3
23:38:29,-38.060467,144.384,38.98,23.3
23:38:30,-38.060502,144.384094,35.15,23.2
23:38:31,-38.060488,144.384175,23.98,23.3
23:38:32,-38.060478,144.384211,6.8,23.5
23:38:33,-38.060476,144.384211,2.22,23.4
23:38:34,-38.06047,144.384194,7.52,23.1
23:38:35,-38.060445,144.384175,13.5,22.8
23:38:36,-38.060403,144.384178,18.93,22.7
23:38:37,-38.060347,144.384201,25.08,22.5
23:38:38,-38.060276,144.384233,31.74,22.4
23:38:39,-38.06019,144.384268,37.95,22.4
23:38:40,-38.060094,144.384321,43.34,22.3
23:38:41,-38.059981,144.384361,47.63,22.0
23:38:42,-38.05986,144.384389,49.76,21.7
23:38:43,-38.059736,144.384422,50.36,21.7
23:38:44,-38.059613,144.384473,52.32,21.8
23:38:46,-38.059402,144.384534,38.15,22.0
23:38:46,-38.059402,144.384534,38.15,22.0
23:38:48,-38.059285,144.384437,38.15,21.8
23:38:48,-38.059285,144.384437,38.15,21.8
23:38:48,-38.059285,144.384437,38.15,21.8
23:38:48,-38.059285,144.384437,38.15,21.8
